ticker,name,section_id,seсtion,quote,exp_clearing,type,web_page
RTS,индекс РТС,1,Индексы,в пунктах,вечерний клиринг,расчетный,https://www.moex.com/ru/index/RTSI
MXI,индекс МосБиржи (мини),1,Индексы,в пунктах,вечерний клиринг,расчетный,https://www.moex.com/ru/index/IMOEX
MIX,индекс МосБиржи,1,Индексы,в пунктах,вечерний клиринг,расчетный,https://www.moex.com/ru/index/IMOEX
RVI,волатильность российского рынка,1,Индексы,в пунктах,вечерний клиринг,расчетный,https://www.moex.com/ru/index/RVI
RTSS,индекс голубых фишек,1,Индексы,в пунктах,вечерний клиринг,расчетный,https://www.moex.com/ru/index/MOEXBC
BR,нефть Brent,2,Товары,в долларах США за 1 баррель,вечерний клиринг,расчетный,https://www.moex.com/ru/derivatives/commodity/oil/
SILV,серебро,2,Товары,в долларах США за 1 тр.унцию,вечерний клиринг,расчетный,https://www.moex.com/ru/derivatives/commodity/gold/
GOLD,золото,2,Товары,в долларах США за 1 тр.унцию,вечерний клиринг,расчетный,https://www.moex.com/ru/derivatives/commodity/gold/
NG,природный газ,2,Товары,в долларах США за 1 MMBtu,пром клиринг,расчетный,https://www.moex.com/msn/ru-futng
PLT,платина,2,Товары,в долларах США за 1 тр.унцию,вечерний клиринг,расчетный,https://www.moex.com/ru/derivatives/commodity/gold/
PLD,палладий,2,Товары,в долларах США за 1 тр.унцию,вечерний клиринг,расчетный,https://www.moex.com/ru/derivatives/commodity/gold/
CL,нефть Light Sweet Crude Oil,2,Товары,в долларах США за 1 баррель,пром клиринг,расчетный,https://www.moex.com/ru/derivatives/commodity/oil/
ALMN,алюминий,2,Товары,в долларах США за 1 тонну,пром клиринг,расчетный,https://www.moex.com/a4437
SLV,серебро в рублях за 1 грамм,2,Товары,в рублях за 1 грамм,вечерний клиринг,поставочный,https://www.moex.com/ru/futures/contract/GO
SUGR,сахар-сырец,2,Товары,в рублях за 1 кг,вечерний клиринг,расчетный,https://www.moex.com/ru/derivatives/commodity/rawsugar/
Co,медь,2,Товары,в долларах США за 1 тонну,пром клиринг,расчетный,https://www.moex.com/a4437
GLD,золото в рублях за 1 грамм,2,Товары,в рублях за 1 грамм,вечерний клиринг,поставочный,https://www.moex.com/ru/futures/contract/GO
Zn,цинк,2,Товары,в долларах США за 1 тонну,пром клиринг,расчетный,https://www.moex.com/a4437
Nl,никель,2,Товары,в долларах США за 1 тонну,пром клиринг,расчетный,https://www.moex.com/a4437
Si,курс доллар США - российский рубль,3,Валюта,в рублях за лот,пром клиринг,расчетный,https://www.moex.com/ru/derivatives/money/currency/
Eu,курс евро-российский рубль,3,Валюта,в рублях за лот,пром клиринг,расчетный,https://www.moex.com/ru/derivatives/money/currency/
